"","replicate","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"1",1,2017,3,35,3555356,2,3,1,262.55994,288.822739,"A","A","D","B","A","A","A","B","E","B"
"2",1,2017,3,33,3302304,2,3,1,230.176116,191.686569,"B","F","D","A","A","B",NA,"A","B","B"
"3",1,2017,3,31,3170206,2,3,1,184.097074,200.158951,"B","C","D","A","A",NA,"C","B","A","B"
"4",1,2017,3,35,3509502,2,2,1,295.468307,320.161232,"B","F","D","A","A","A","A","D","A","C"
"5",1,2017,3,35,3522505,2,3,1,229.868089,268.84956,"A","C","C","A","A","B","C","B","E","C"
"6",1,2017,3,35,3513801,2,2,1,103.254782,151.635747,"A","C","F","A","A","B","B","C","A","C"
"7",1,2017,2,29,2917706,2,3,1,140.808677,201.21621,"A","B","H","A",NA,"A","B","B","C","C"
"8",1,2017,3,33,3304904,2,3,2,241.586613,185.439036,"B","C","D","A","A","B","C","A","B","A"
"9",1,2017,3,35,3534401,2,3,1,168.319768,194.785519,"A","C","D","A","B","A","A","C","A","C"
"10",1,2017,1,12,1200401,1,2,1,294.101772,254.905654,"B","D","F","A","B","A","C","D","A","B"
"11",1,2017,2,23,2306108,2,3,1,165.242308,229.68575,"B","A","D","A","A","A","B","B","E","B"
"12",1,2017,3,35,3534401,2,3,1,206.823362,178.635095,"B","C","C","B","A","A","A","D","A","B"
"13",1,2017,1,12,1200401,1,2,1,162.072897,140.388814,"B","A","C","B","A","A","C","A","B","A"
"14",1,2017,3,33,3303401,2,3,1,250.67531,247.360693,"B","C","C","C","A","A","B","D","E","C"
"15",1,2017,1,15,1502400,2,3,2,275.21158,247.965224,"B","C","C","A","A","A","A","B","A","A"
"16",1,2017,2,26,2611002,2,3,1,169.487967,169.934951,"A","C","D","A","A","B","A","D","B","A"
"17",1,2017,2,23,2305001,2,3,1,209.231548,240.681057,"A","C","C","A","A","A","A","D","A","B"
