"","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"990",2017,1,15,1504703,2,3,1,241.570415,225.844494,"B","C","C","B","A","A","C","A","A","B"
"1186",2017,3,35,3550308,1,3,1,260.054845,302.092361,"B","E","D","B","A","A","A","D","A","B"
"121",2017,4,41,4107207,2,3,2,207.504647,184.922535,"B","A","C","A","A","A","A","A","D","B"
"1290",2017,1,17,1700350,2,2,1,248.538348,257.691495,"B","C","D","A","A","B","A","B","A","B"
"1770",2017,2,25,2507507,1,3,1,129.311849,176.395434,"B","B","D","A","A","A","C","A","B","B"
"608",2017,3,35,3529005,2,3,1,261.138421,262.451007,"A","A","C","B","A","A","A","B","A","A"
"254",2017,1,15,1501402,1,2,1,216.773719,174.805297,"A","C","D","A","B","C","A","B","E","B"
"602",2017,5,53,5300108,1,2,1,185.310947,171.819082,"B","C","D","A","A","B","A","D","D","C"
"1087",2017,2,22,2211001,1,3,2,147.757547,124.568043,"B","C","H","A","A","B","A","A","A","A"
"738",2017,3,35,3513405,2,3,1,294.991364,316.400461,"A","F","C","B","A","B","A","B","A","C"
"353",2017,1,17,1703867,2,3,1,231.196335,235.891084,"B",NA,"D","A","A","B","A","C","B","B"
"1504",2017,3,35,3554003,2,3,1,253.886206,261.215451,"B","A","C","B","A","A","A","D","A","B"
"1904",2017,3,31,3136702,2,3,1,263.299899,266.536847,"B","A","C","C","A",NA,"C","D","E","A"
"1755",2017,2,26,2612554,2,3,1,109.766432,152.131177,"A","C","E","B","A","A","A","C","B","B"
"482",2017,3,35,3524402,2,3,1,216.446575,178.986434,"B","C","D","C","A","C","B","C","A","A"
"96",2017,2,23,2306405,2,3,1,224.822915,228.361102,"A","A","C","B","A","B","B","C","E","C"
"621",2017,3,31,3134707,2,3,1,203.224609,192.982823,"B","C","C","A","A","C","A","E","C","A"
"1381",2017,1,15,1505064,2,3,1,237.000586,211.151798,"B","F","D","B","A","C","C","E","A","A"
"1204",2017,4,43,4307906,2,2,1,275.939143,251.150807,"B",NA,"C","A","A","B","A",NA,"A","A"
"1187",2017,2,27,2700300,2,3,1,168.008876,252.353666,"B","F","D","A","A","B","B","D","D","C"
"912",2017,3,33,3304557,1,3,1,153.952025,115.455078,"A","C","C","B","A","A","B","D","E","C"
"1172",2017,2,26,2611101,2,3,2,214.75306,207.230393,"B","C","D","A","A","A","B","B","B","B"
"1314",2017,4,41,4108601,2,3,1,228.254625,260.844549,"A","C","E","A","A","A","A","C","A","A"
"1901",2017,3,35,3552403,2,3,1,193.203622,239.220758,"B","C","D","C","A","B","B","D","A","B"
"163",2017,2,23,2311959,2,3,2,248.533004,287.257307,"A","C","D","A","A","A","B","E","E","A"
"257",2017,3,35,3509502,2,2,1,196.12974,211.445624,"B","C","C","B","A","A","A","C","C","B"
"612",2017,2,26,2615300,2,3,2,223.019984,265.912642,"A","C","D","A","A","A","A",NA,"E","A"
"1168",2017,2,21,2106359,2,3,1,191.625968,206.497421,"B","C","E","A","B","B","B","A","A","C"
"1680",2017,2,23,2307700,2,3,1,274.327386,204.421691,"B","C","C","A","A","B","C",NA,"E","C"
"507",2017,3,31,3162559,2,2,2,260.466502,271.503104,"B","C","D","A","A","A","A","C","C","C"
"1734",2017,3,35,3522307,2,3,1,199.373307,193.321922,"B","A","E","A","A","A","B","A","C","B"
"225",2017,3,31,3138658,2,2,1,228.533287,231.095746,"B","C","C","B","A",NA,NA,NA,"A","A"
"1854",2017,1,15,6305662,2,3,2,226.074801,176.34731,"B","C","D","A","A","A","A","B","C","C"
"850",2017,3,35,3550308,1,3,1,219.816085,244.170415,"A","A","D","B","A","A","A","D","A","B"
"1184",2017,5,51,5103403,1,3,1,297.41415,311.025911,"A","C","D","B","A","A","A","D","A","C"
"1722",2017,3,31,3149309,2,3,1,251.842683,218.755111,"B","C","D","B","A","A","A","B","A","B"
"1664",2017,4,42,4217709,2,3,1,213.138163,254.018252,"A","C","C","B","A","A","A","D","A","B"
"1898",2017,5,53,5300108,1,2,1,270.718991,290.409355,"B","A","D","C","A","A","A","A","A","A"
"1383",2017,2,29,2925303,2,3,2,163.589562,205.968456,"A","B","D",NA,"A","C","C","E","C","B"
"699",2017,4,43,4310207,2,3,1,228.8152,261.021281,"B","A","D","A","A","A","A","D","D","A"
"1126",2017,5,51,5107909,2,2,1,217.495883,172.522431,"B","C","D","B","A","A","B","E","A","B"
"1869",2017,4,43,4307005,2,3,1,148.63524,222.858391,"A","B","D","B","A","C","A","B","C","A"
"1503",2017,2,29,2926202,2,3,2,160.290571,182.093042,"A","F","C","A","A","A","A","E","A","A"
"907",2017,2,28,2800308,1,2,1,141.863219,231.529918,"A","C","C","A","A","B","A","C","A","B"
"818",2017,4,41,4104303,2,3,1,273.872921,280.984791,"B","A","C","B","A","A","A","A","B","A"
"1616",2017,3,33,3304557,1,3,1,173.885354,245.953156,"A","C","D","B","A","A","A","D","C","B"
"1092",2017,2,24,2408102,1,3,1,223.733278,260.766747,"B","F","C","B","A","A","B","D","D","B"
"1649",2017,3,35,3538006,2,3,1,195.203345,174.17036,"B","A","C","C","A","B","A","D","C","C"
"1626",2017,1,16,1600303,1,2,1,234.244706,232.90213,"B","C","G","A","A","A","A","A","B","B"
"1410",2017,5,51,5102504,2,3,1,142.354762,182.103158,"B","F","F","A","A","A","B","A","A","C"
"1159",2017,3,35,3522109,2,3,1,189.713347,243.49367,"A","C","D","A","A","A","B","A","A","A"
"1111",2017,2,27,2705002,2,3,2,181.517548,199.114491,"A","C","D","A","A","A","B","D","D","A"
"145",2017,2,23,2312304,2,3,2,273.005917,268.0484,"B","C","D","B","A","A","A","C","C","A"
"417",2017,4,43,4310603,2,3,1,238.556974,259.007368,"A","A","D","A","A","C","A","A","C","B"
"288",2017,2,25,2506707,2,3,2,144.965636,161.734653,"B","C","E","B","A","A","B","B","A","B"
"1843",2017,4,42,4202008,2,3,1,249.648314,248.639174,"A","A","C","B","A","A","B","D","B","B"
"1342",2017,2,27,2704302,1,3,1,214.714605,201.591527,"B","C","H","A","A","B","C","B","B","B"
"1365",2017,3,35,3549904,2,2,1,318.171346,297.34101,"A","A","C","A","C","C","A","D","E","B"
"730",2017,2,26,2601102,2,3,1,149.971033,171.7225,"A","B","D","C","A","B","B","A","A","A"
"226",2017,3,35,3552502,2,2,1,217.686947,277.270969,"A","A","D","B","A","A","A","D","E","C"
"113",2017,3,31,3160454,2,2,1,215.020648,190.967905,"A","C","D","B","A","A","C","E","E","B"
"1751",2017,3,35,3543303,2,3,1,238.409379,259.639063,"B","A","C","B","A","A","A","D","E","A"
"1457",2017,2,26,2612471,2,3,1,143.646095,154.990014,"A","C","E","B","A","C","A","C","A","A"
"1508",2017,4,43,4323002,2,2,1,242.366349,247.790784,"B","A","C","B","A","A","A","E","C","C"
"1325",2017,2,21,2103752,2,3,1,216.65626,219.360593,"B","C","C","A","A","A","A","A","D","B"
"635",2017,2,21,2104503,2,3,1,193.286647,170.179033,"B","F","C","A","A","A","C","C","C","C"
"1535",2017,3,31,3106200,1,2,1,176.773899,234.878315,"B","A","C","A","A","B","B","D","B","A"
"741",2017,2,27,2701001,2,3,1,163.594851,215.462438,"B","F","C","A","A","A","C","B","A","B"
"1675",2017,4,43,4321501,2,3,2,235.379409,239.260497,"B","A","C","A","A","A",NA,"D","D","C"
"1684",2017,5,52,5201108,2,3,1,205.312812,225.392213,"A","C","C","B","A","A","C","E","A","B"
"141",2017,3,35,3513801,2,2,1,300.809388,295.743886,"B","C","D","A","A","A","A","A","B","B"
"623",2017,4,43,4313409,2,3,1,196.599632,226.168111,"B","A","C","B","A","A","C","B","E","C"
"802",2017,2,29,2905008,2,3,2,192.242132,221.617245,"A","C","D","A","A","A","A","A","A","C"
"1605",2017,2,27,2701357,2,3,1,150.115709,122.506678,"A","A","C","A","A","A","A","B","A","B"
"108",2017,4,41,4120002,2,3,1,235.815197,262.962365,"A","C","D","B","A","C","A","A","A","A"
"1093",2017,3,31,3156700,2,3,1,148.996818,170.836662,"B","A","D","C","A","A","A","D","B","A"
"162",2017,1,17,1707652,2,3,1,172.223133,191.942555,"A","C","D","B",NA,"B","B","A","A","B"
"243",2017,2,28,2802106,2,3,1,150.786305,177.027017,"A",NA,"F","B","A","A","B","B","B","A"
"1142",2017,2,29,2925709,2,3,1,239.673331,224.396044,"B","B","C","A","A","B","C","A","C","C"
"1170",2017,4,42,4205001,2,3,1,323.908438,312.834866,"A","A","C","B","A","A","A","D","A","B"
"1442",2017,3,35,3548708,2,3,1,223.985606,251.328098,"A","C","D","B","A","C","A","A","E","A"
"1437",2017,3,35,3550308,1,2,1,327.107599,273.740977,"B","C","D","A","A","B","B","B","A","B"
"1959",2017,3,31,3127701,2,3,1,238.547388,254.175253,"B","C","C","B",NA,"C","A","D","B","A"
"756",2017,4,41,4113700,2,3,1,223.550258,217.016357,"A","A","E","B","A","B","A","D","D","B"
"1691",2017,3,35,3552403,2,3,1,231.296219,206.217624,"B","C","C","B","B","B","A","D","E","B"
"765",2017,3,35,3516309,2,3,1,223.874152,215.564833,"B","B","D","A","A","A","A","D","E","A"
"740",2017,3,31,3122306,2,2,1,269.250974,254.426992,"B","A","C",NA,"A",NA,"A","D","B","B"
"1214",2017,2,29,2907202,2,3,2,237.379573,251.637462,"B","C","C","B","A","B","A","D","D","C"
"1892",2017,2,21,2111052,2,3,1,182.653353,179.54955,"B","C","D","B","A","B","A","A","A","A"
"1653",2017,3,35,3521606,2,3,1,328.201919,352.640544,"B","A","C","C","A","A","B","D","B","A"
"174",2017,2,25,2509156,2,3,1,267.607759,216.123309,"B","A","D","B","A","A","A","C","A","A"
"282",2017,3,32,3205002,2,3,1,230.474998,215.124849,"A","C","E","B","A","B","B","D","A","B"
