"","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"1319",2017,4,42,4209102,2,3,1,236.73746,241.16011,"A","A","E","B","A","A","B","B","A","B"
"1976",2017,2,21,2102325,2,3,1,152.307653,176.707984,"B","C","C","A","A","A","C","E","B","C"
"146",2017,1,13,1302603,1,3,1,230.416434,233.509233,"B","C","D","A","A","A","A","B","C","C"
"1495",2017,3,35,3550308,1,2,1,208.651801,229.08787,"A","C","D","A","A","B","B","D","A","B"
"728",2017,2,24,2414605,2,3,1,126.552388,114.158656,"A","F","B","E","B","B","C","B","C","B"
"1266",2017,3,35,3550308,1,2,1,273.06966,306.285403,"A","F","D","D","A","A","A","D","E","C"
"927",2017,2,29,2927408,1,3,1,256.583853,180.042185,"A","C","D","B","A","A","A","A","A","C"
"1287",2017,4,43,4317301,2,3,1,185.12699,150.317638,"A","C","F","A","A","A","A","A","B","C"
"552",2017,2,29,2927408,1,3,1,214.199372,183.331616,"A","C","D","B","C","A","C","B","C","C"
"609",2017,1,17,1702109,2,2,1,243.66231,249.588058,"B","B","C","C","A","A","A","B","B","B"
"135",2017,1,17,1709500,2,2,1,252.865051,199.067989,"B","C","D","B","A","A","A","C","B","A"
"237",2017,2,28,2802700,2,3,1,178.477276,251.324074,"A","C","E","A","A","A","A","B","A","C"
"1190",2017,1,13,1303809,2,2,1,216.003294,210.922137,"A","D","D","A","A","B","C","A","D","C"
"260",2017,4,43,4306973,2,3,1,151.134936,159.160699,"B","F","D","A","A","A","A","C","A","A"
"1950",2017,3,32,3205200,2,3,1,192.875651,173.72216,"A","F","E","B","A","A","A","E","E","A"
"14",2017,3,35,3549904,2,2,1,199.437215,209.442164,"A","A","D","D","A","A","A","D","D","B"
"550",2017,3,35,3550605,2,3,1,257.470635,282.411107,"B","A","C","C","A","A","A","D","B","A"
"1963",2017,3,35,3554003,2,3,1,244.838058,261.926401,"B","C","C","B","A","A","A","A","A","B"
"1980",2017,2,27,2708006,2,3,1,128.476909,140.37104,"B","C","F","B","A","A","B","D","B","A"
"1724",2017,1,15,1508209,2,3,1,194.804855,236.960025,"B","C","D","A","A","A","C","B","D","C"
"177",2017,4,42,4202404,2,3,1,223.680774,179.448496,"B","E","D","B","B","A","B","A","A","A"
"478",2017,3,31,3133402,2,3,1,165.660081,178.14341,"A","A","C","B","A","A","A",NA,"A","B"
"868",2017,3,35,3549805,2,3,1,253.346236,311.905488,"B","A","C","A","A","C","B","C","B","B"
"1089",2017,3,35,3516200,2,3,1,261.705827,224.501513,"B","A","D","B","A","A","B","D","A","A"
"1974",2017,3,35,3509007,2,3,1,260.724339,227.121019,"B","A","C","B","A","A","A","D","E","C"
"128",2017,2,21,2112308,2,3,1,124.64803,151.340524,"A","C","C","A","A","A","A","E","A","C"
"1130",2017,3,35,3516309,2,3,1,232.129727,270.565231,"A","A","D","B","A","B","A","C","A","B"
"1754",2017,3,35,3552205,2,3,1,125.193234,219.4024,"A","D","C","B","A","A","B","C","C","C"
"1291",2017,1,13,1304302,2,3,1,165.008712,161.670656,"A","C","E","A","A","B","A","A","A","B"
"530",2017,3,35,3516309,2,3,1,256.707592,225.336042,"B",NA,"C","B","A","A","B","B","A","C"
"274",2017,1,17,1716208,2,3,2,160.947945,157.438712,"B","C","G","A",NA,"B","C","A","B","B"
"460",2017,2,26,2611606,1,3,1,142.624829,147.473166,"A","B","A",NA,NA,NA,"B","D","B","B"
"1423",2017,5,52,5206404,2,3,1,238.330044,236.324194,"A","B","D","A","B","C","A","B","B","B"
"1914",2017,1,15,1506559,2,3,1,114.583575,136.03318,"A","A","D","A","A","A","A","E","A","C"
"514",2017,4,41,4107652,2,3,1,233.846216,297.674575,"B","C","C","B","A","B","B","C","A","C"
"1197",2017,3,35,3545209,2,3,1,232.858998,291.416479,"B","A","D","B","A","A","A","A","B","B"
"520",2017,3,31,3106200,1,2,1,240.368003,261.27274,"A","C","D","B","A","A","A","A","E","C"
"1300",2017,3,35,3510609,2,2,1,246.477471,233.133971,"B","B","C","B","A","A","A","D","D","C"
"194",2017,5,53,5300108,1,2,1,266.586273,195.03178,"B","C","D","A","A","A","C","B","A","A"
"1369",2017,2,24,2411205,2,3,1,193.132937,184.057154,"A","F","C","A","A","A",NA,"E","E","C"
"19",2017,2,28,2804508,2,3,2,153.314539,162.703602,"A","A","E","A","A","A","B","D","A","C"
"248",2017,2,29,2921005,2,3,1,226.975578,215.77633,"A","A","C","A","A","A","A","A","C","A"
"1116",2017,1,13,1302603,1,2,1,234.76947,272.85173,"A","C","F","A","A","B","C","A","D","C"
"1352",2017,2,28,2803203,2,3,2,230.471307,176.760914,"B","C","E","A","A","A","A","A","A","B"
"1994",2017,4,41,4121703,2,3,2,177.634954,179.521939,"B","A","C","A","A","A","B","A","A","B"
"1543",2017,2,21,2107357,2,3,1,184.588838,197.545649,"A","C","C","A","A",NA,"C","A","D","C"
"668",2017,2,27,2708006,2,3,1,234.789139,238.846447,"B","C","D","A","A","C","A","A","A","B"
