"","replicate","ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","IDADE","COMPUTADOR","MORA_MÃE","MORA_PAI","REUNIÕES_ESCOLARES","USO_TEMPO_TELAS","AFAZERES_DOM","BIBLIOTECA"
"724",25,2017,3,35,3550308,1,2,1,181.224451,221.969591,"A","C","C","A","C","C","A","B","B","A"
"725",25,2017,3,31,3160702,2,2,1,242.51163,286.554293,"A","C","C","C","A","A","A","D","B","A"
"726",25,2017,2,26,2615300,2,3,1,105.096663,145.262569,"B","C","D","B","C","A","A","C","B","A"
"727",25,2017,4,41,4106902,1,3,1,186.369455,197.866248,"A","C","D","A","A","C","B","C","A","A"
"728",25,2017,3,31,3170206,2,2,1,243.890066,251.003643,"B","A","C","A","A","B","A","B","B","B"
"729",25,2017,2,25,2507903,2,3,1,181.149524,198.107423,"B","C","C","A","A","A","B","A","A","B"
"730",25,2017,4,43,4316907,2,3,1,280.153344,255.465024,"A","A","C","B","A","B","C","B","B","C"
"731",25,2017,3,35,3541406,2,3,1,206.646512,219.487412,"B","A","D","A","A","A","A","D","A","B"
"732",25,2017,5,50,5003702,2,3,1,246.657296,236.089166,"B","A","D","C","A","B","C","B","C","B"
"733",25,2017,4,43,4309308,2,3,1,305.750271,286.113079,"B","C","B","B","A","A","A","D","A","A"
"734",25,2017,2,21,2105963,2,3,1,207.416773,183.845993,"B","C","C","A","A","A","C","B","C","B"
"735",25,2017,2,21,2103000,2,3,1,208.611968,172.915689,"A",NA,"C","A","A","B","A","B","A","B"
"736",25,2017,5,51,5102678,2,3,2,205.390769,207.636953,"B","C","C","A","B","A","A","A","A","A"
"737",25,2017,5,52,5218805,2,3,1,271.966526,251.550214,"B","A","D","A","A","B","A","B","A","B"
"738",25,2017,1,15,1506187,2,3,1,239.495985,264.08731,"A","C","D","A","A","C","A","C","C","C"
"739",25,2017,3,31,3134202,2,3,1,246.840812,254.290615,"B","C","C","A","A","A","B",NA,"B","A"
"740",25,2017,2,23,2312403,2,3,1,193.584207,196.082947,"A","C","D","A","A",NA,"B",NA,"E","B"
"741",25,2017,3,31,3162559,2,3,1,152.055105,200.071424,"A","A","E","B","A","A","A","B","A","B"
"742",25,2017,3,35,3522406,2,3,1,178.384719,184.266583,"A","A",NA,"E","A","B","A","C","D","A"
"743",25,2017,4,41,4108304,2,3,1,248.378027,349.529129,"A","A","E","E","A","B","A","D","B","B"
"744",25,2017,3,31,3136702,2,3,1,193.616987,247.733998,"A","C","F","A","A","A","B",NA,NA,"B"
"745",25,2017,3,32,3203205,2,3,1,197.019829,186.706842,"B","C","E","A","A","A","A","D","A","B"
"746",25,2017,1,15,1506807,2,3,2,204.959388,197.46019,"B","A","C","A","A","B","C","A","D","C"
"747",25,2017,1,13,1301902,2,2,1,258.274337,278.102759,"A","C","D","B","C","A","A","A","C","A"
"748",25,2017,2,21,2100709,2,3,2,185.454134,125.825397,"A","B","D","A","A","B","A","A","A","C"
"749",25,2017,1,15,1500800,2,3,1,190.064126,205.627177,"B","C","C","B","A","B","C","A","C","C"
"750",25,2017,4,43,4322533,2,3,2,157.142151,202.734973,"B","A","E","A","A","A","C","A","A","A"
"751",26,2017,3,31,3129806,2,3,1,329.610766,219.789287,"B","C","D","B","A","A","A","C","A","B"
"752",26,2017,4,41,4101507,2,3,1,249.661923,279.762481,"A","B","C","B","A","A","B","B","B","A"
"753",26,2017,3,31,3169901,2,2,1,229.02775,300.410896,"B","E","C","B","A","A","A","D","B","B"
"754",26,2017,3,33,3304557,1,3,1,291.797161,264.262756,"B","C","C","A","C",NA,"C","D","A","C"
"755",26,2017,2,23,2310209,2,3,1,180.177733,206.034688,"B","C","C","B","A","A","A","A","A","C"
"756",26,2017,3,35,3506003,2,2,1,235.531797,250.569415,"B","C","D","B","A","A","A","B","A","A"
"757",26,2017,1,13,1302603,1,3,1,188.693293,188.299829,"B","D","D","A","A","A","A","A","D","C"
"758",26,2017,3,35,3550308,1,2,1,234.747378,206.95272,"B","A","C","B","A","B","A","D","A","C"
"759",26,2017,3,35,3517505,2,3,1,199.338929,248.61827,"A","A","D","B","A","C","A","A","C","A"
"760",26,2017,1,15,1503101,2,3,1,222.292366,231.240451,"B","C","C","A","A","B","C","A","A","C"
"761",26,2017,3,35,3519600,2,3,1,271.052582,277.778415,"B","A","D","B","A","A","A","C","B","A"
"762",26,2017,4,43,4311106,2,3,1,193.658142,244.624316,"A","D","C","A","A","A","B","B","E","A"
"763",26,2017,3,31,3152402,2,3,1,183.896645,234.973276,"A","B","C","B","A","B","B",NA,"A","C"
"764",26,2017,2,22,2201200,2,3,2,243.116941,252.742621,"B","C","D","A","A","A","A","E","D","C"
"765",26,2017,1,15,1507607,2,3,2,115.033302,114.18431,"B","A","H","A","A","B","A","D","D","B"
"766",26,2017,3,31,3137601,2,3,1,302.169644,269.408092,"B","C","D","B","A","A","B","B","A","A"
"767",26,2017,4,41,4121703,2,3,2,177.634954,179.521939,"B","A","C","A","A","A","B","A","A","B"
"768",26,2017,3,35,3509502,2,2,1,196.12974,211.445624,"B","C","C","B","A","A","A","C","C","B"
"769",26,2017,2,23,2312304,2,3,2,273.005917,268.0484,"B","C","D","B","A","A","A","C","C","A"
"770",26,2017,3,32,3201308,2,2,1,262.036333,258.921127,"B","C","C","A","A","A","A","B","A","B"
"771",26,2017,1,12,1200401,1,2,1,258.056608,215.971506,"B","C","D","C","B","B","A","D","C","A"
"772",26,2017,3,35,3515004,2,3,1,130.405342,159.011411,"A","B","D","E","A","C","B","D","A","C"
"773",26,2017,4,43,4318705,2,3,1,272.301989,227.634278,"B","A","C","B","A","A","A","A","C","A"
"774",26,2017,3,33,3304557,1,3,1,292.314047,304.712761,"A","C","D","B","A","A","A",NA,NA,"B"
"775",26,2017,3,31,3132404,2,3,1,295.190582,289.133836,"B","A","D","B","B","B","C","B","E","A"
"776",26,2017,2,23,2304400,1,3,1,207.599242,206.164805,"A","C","D","A","A","B","A","D","A","A"
"777",26,2017,3,31,3162559,2,3,1,152.055105,200.071424,"A","A","E","B","A","A","A","B","A","B"
"778",26,2017,3,35,3513801,2,2,1,220.955801,256.795821,"B","A","D","B","A","A","B","D","B","B"
