ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,4,41,4109807,2,3,1,190.208085,269.279875,A,C,C,B,A,C,A,B,A,B
2017,4,42,4202073,2,3,1,285.611554,275.906805,A,A,D,D,A,A,A,C,A,C
2017,2,23,2310704,2,3,2,167.617493,138.626137,B,B,D,A,A,A,B,E,E,A
2017,1,17,1713809,2,3,2,216.866662,208.804209,A,C,E,A,A,C,A,D,B,A
2017,2,26,2601102,2,3,1,152.691654,179.010021,B,F,E,A,A,A,A,B,B,A
2017,4,43,4307005,2,2,1,151.224297,202.730445,A,F,D,B,A,A,C,D,C,C
2017,3,33,3306305,2,3,1,153.066068,199.629986,A,B,E,B,A,B,A,B,E,B
2017,1,11,1100122,2,2,1,195.821273,197.310063,A,A,D,A,A,A,A,A,A,A
2017,2,28,2804409,2,2,1,149.86889,175.729532,A,C,D,B,A,A,B,B,A,B
2017,3,31,3143302,2,3,1,288.139017,284.159531,A,C,D,D,A,A,A,B,E,A
2017,3,35,3522505,2,3,1,275.398456,258.530719,B,F,D,B,A,A,A,D,A,C
2017,3,35,3519071,2,3,1,270.91606,251.961805,A,C,D,B,A,C,A,D,D,A
2017,2,23,2305233,2,3,1,156.391779,192.902394,A,F,D,A,A,B,B,B,A,B
2017,3,35,3503208,2,2,1,248.132035,230.707574,B,A,C,A,A,B,A,B,B,A
2017,3,35,3549805,2,3,1,226.45759,192.516402,B,C,C,A,A,C,B,A,B,A
2017,4,41,4119152,2,3,1,172.787454,192.735556,A,C,D,B, ,A,B,D,A,B
2017,3,31,3170107,2,2,1,221.869249,223.328221,A,A,C,C,A,A,B,D,E,B
2017,4,41,4121604,2,3,1,273.439061,284.152935,A,A,C,A,A,A,C,C,D,A
2017,3,35,3550308,1,3,1,269.936666,235.670365,B,A,D,A,A,A,A,A,A,B
2017,1,15,1501402,1,2,1,207.800884,224.59994,A,C,C,A,A,A,A,B,A,C
2017,3,31,3118304,2,3,1,274.354713,274.625026,A,A,D,E,A,A, ,C,A,C
2017,3,33,3301900,2,3,2,216.814158,186.234719,A, ,D,A, ,B,A,D,D,C
2017,3,31,3106705,2,3,1,193.502393,222.424722,B,C,C,A, ,A,A,B,A,C
2017,2,26,2612208,2,3,1,211.263557,202.124628,B,C,D,A,A,B,A,B,B,A
2017,4,43,4304606,2,3,1,200.986386,196.565186,A,A,F,D,A,A,A,C,B,A
2017,4,43,4314050,2,3,1,222.333411,179.060045,B,E,C,A,A,B,A,A,E,A
2017,3,35,3522406,2,3,1,178.384719,184.266583,A,A, ,E,A,B,A,C,D,A
2017,4,41,4119400,2,3,1,182.515454,209.776679,B,A,D,A,A,B,B,B,D,B
2017,3,31,3157807,2,3,1,120.500657,174.06355,B,A,D,B,A,B,B,D, ,B
2017,3,32,3205309,1,3,1,161.593254,181.213632,A,A,E,B,A,A,A,D,E,B
2017,3,35,3550308,1,2,1,275.202544,253.095916,B,A,C,B,A,A,A,B,C,A
2017,2,23,2306405,2,3,1,224.822915,228.361102,A,A,C,B,A,B,B,C,E,C
2017,3,35,3518800,2,3,1,167.356846,235.230549,A,A,D,B,A,C,B,B,A,A
2017,3,35,3550605,2,3,1,256.671065,298.876987,B,C,C,B,A,A,A,A,B,A
2017,5,52,5214507,2,3,1,187.955428,216.072224,A,E,C,B,A,A,C,A,A,C
2017,3,31,3163706,2,2,1,256.852598,264.406344,B,C,D,A,A,A,A, , ,B
2017,3,35,3517505,2,3,1,199.338929,248.61827,A,A,D,B,A,C,A,A,C,A
2017,4,43,4315602,2,3,1,173.99185,207.529864,B,B,D,B,A, ,C,B,D,C
